ID,Precip_date,Site_name,Latitude,Longitude,Elevation_masl,Commune,Sub_basin,Volunteer_initials,Precip_local_date_time,Precip_date_time,Precip_measurement_local_date_time,Precip_measurement_date_time,Depth_cm,Hardness,Local_name,Grain_size_mm,Temp_oC,Grain_type,Density_kg_m3,Snow_water_equivalent,Precip_mm,ÃŽÂ´18O_H20_1,ÃŽÂ´18O_H20_2,ÃŽÂ´D_H2O_1,ÃŽÂ´D_H2O_2,D_excess_1,D_excess_2,Comment_en,Comment_es,Sub_basin_code
Lag_3,28/05/2019,Embalse La Laguna,-30.202872,-70.040778,3111,VicuÃƒÂ±a,Turbio river,JA - GB,2019-05-28T20:00,2019-05-29T00:00,2019-05-29T08:00,2019-05-29T12:00,13.1,very soft,plumilla,>2.0,-1.3,graupel,80,10.5,,-19,,-139.5,,12.6,,"Without wind, gentle, sky totally covered.","Sin viento, calmado, cielo totalmente cubierto.",439
Lag_4,30/05/2019,Embalse La Laguna,-30.202872,-70.040778,3111,VicuÃƒÂ±a,Turbio river,JA - GB,2019-05-30T10:00,2019-05-30T14:00,,,22.4,very soft,plumilla,>2.0,-1.1,stellar crystal,80,13.8,,-10.8,,-72.3,,14.5,,Wind gusts at night. Wind was blowing from sea to cordillera.,RÃƒÂ¡faga de viento en la noche. El viento soplÃƒÂ³ de mar a cordillera.,439
Lag_5,31/05/2019,Embalse La Laguna,-30.202872,-70.040778,3111,VicuÃƒÂ±a,Turbio river,JA - GB,,,,,20.1,very soft,plumilla,,-3.8,,90,21.9,,,,,,,,With light wind. Duration of the event: 3 hours. Measurements 5 hours after the event.,Con viento leve. DuraciÃƒÂ³n del evento: 3 horas. Mediciones 5 horas despuÃƒÂ©s del evento.,439
Emp_2,30/05/2019,El Empedrado,-30.180887,-70.363549,1863,Paihuano,Claro river,LC,,,,,2,,,,,,,,,,,,,,,,,431
Alc_1,30/05/2019,Alcohuaz,-30.231361,-70.495086,1752,Paihuano,Claro river,JCS,2019-05-30T00:45,2019-05-30T04:45,2019-05-30T10:30,2019-05-30T14:30,2.8,very soft,,2,-0.1,graupel,,,,-8.9,-9,-60.4,-60.4,11.1,11.3,Day 29 May with moderate winds and intermittent to intense rain at night.,DÃƒÂ­a 29/05 con vientos moderados y lluvias intermitentes a intensas en la noche.,431
Der_2,30/05/2019,Estero Derecho,-30.258361,-70.496337,1900,Paihuano,Claro river,JP,2019-05-30T21:00,2019-05-31T01:00,2019-05-30T10:00,2019-05-30T14:00,4,very soft,garrotillo,>2.0,0.1,spatial dendrite,,,,,,,,,,"Low cloud, strong wind, low temperature, rain.","Nube baja, viento fuerte, baja temperatura, lluvia.",431
Pin_1,30/05/2019,Mina Los Pingos,-30.945837,-70.495352,1925,Monte Patria,Grande river alto,MD,,,,,2,,,1.5,-0.9,spatial dendrite,,,,,,,,,,,,451
Ram_1,17/06/2019,Las Ramadas,-31.017125,-70.582831,1391,Monte Patria,Grande river alto,CCo,2019-06-17T18:00,2019-06-17T22:00,2019-06-18T08:00,2019-06-18T12:00,5,very soft,,2,-1,spatial dendrite,270,13.3,,-14.2,-13.9,-99.3,-97.3,14.2,14.2,,,451
Lag_6,24/06/2019,Embalse La Laguna,-30.202872,-70.040778,3111,VicuÃƒÂ±a,Turbio river,JA - GB,2019-06-24T11:00,2019-06-24T15:00,2019-06-25T09:00,2019-06-25T13:00,29.2,very soft,pluma gansa,>2.0,-7.5,capped column,50,15.1,,,,,,,,Occasional soft wind.,Viento suave ocasional,439
Pin_2,28/06/2019,Mina Los Pingos,-30.945837,-70.495352,1925,Monte Patria,Grande river alto,MD,2019-06-28T23:30,2019-06-29T03:30,2019-06-29T08:30,2019-06-29T12:30,2,very soft,,,,,,,,,,,,,,Day 28 June,DÃƒÂ­a 28-06 se nubla despuÃƒÂ©s de las 18:00 y a las 23:00 comienzan a caer pequeÃƒÂ±os granizos.,451
